instancia,otimo,vnd_media_solucao,vnd_melhor_solucao,vnd_media_tempo,vnd_gap,vns_media_solucao,vns_melhor_solucao,vns_media_tempo,vns_gap
bayg29,1610,1735.0,1735,0.005983805656433106,7.763975155279502,1715.7,1680,0.04138913154602051,4.3478260869565215
bays29,2020,2039.0,2039,0.006283211708068848,0.9405940594059405,2039.0,2039,0.04153788089752197,0.9405940594059405
berlin52,7542,7957.0,7957,0.04017925262451172,5.502519225669584,7957.0,7957,0.14786155223846437,5.502519225669584
bier127,118282,125599.0,125599,0.29854674339294435,6.186063813598012,125472.3,124604,1.0043267965316773,5.344853823912345
brazil58,25395,28891.0,28891,0.02702772617340088,13.766489466430402,28553.0,27621,0.17202682495117189,8.765505020673361
ch130,6110,6877.0,6877,0.29335484504699705,12.553191489361701,6868.6,6811,1.001330304145813,11.472995090016367
ch150,6528,7089.0,7089,0.2775219202041626,8.59375,7085.4,7067,1.2227261543273926,8.25674019607843
swiss42,1273,1348.0,1348,0.014660882949829101,5.89159465828751,1331.1,1302,0.08383049964904785,2.2780832678711707
